Ativo_ID,Data,Valor
19,2026-02-16,3762.87
19,2026-02-27,3779.81
19,2026-03-09,3796.43
19,2026-03-20,3822.76
19,2026-03-31,3843.02
19,2026-04-17,3883.8
19,2026-05-01,3907.23
19,2026-05-13,3930.12
19,2026-05-30,3963.43
19,2026-06-09,3978.27
19,2026-06-16,3992.7
20,2025-08-22,20063.84
20,2025-08-29,20101.14
20,2025-09-09,20140.75
20,2025-09-19,20187.79
20,2025-10-01,20253.12
20,2025-10-25,20449.29
20,2025-10-31,20489.19
20,2025-11-10,20538.94
20,2025-11-21,20594.89
20,2025-11-28,20635.77
20,2025-12-12,20721.91
20,2025-12-19,20765.32
20,2026-01-01,20841.97
20,2026-01-24,20997.7
20,2026-01-30,21049.34
20,2026-02-16,21152.68
20,2026-02-27,21237.15
20,2026-03-09,21322.39
20,2026-03-20,21458.09
20,2026-03-31,21562.22
20,2026-04-17,21774.45
20,2026-05-01,21894.73
20,2026-05-13,22011.83
20,2026-05-30,22181.53
20,2026-06-09,22256.13
20,2026-06-16,22329.79
21,2026-03-20,10166.66
21,2026-03-31,10222.81
21,2026-04-17,10324.32
21,2026-05-01,10380.49
21,2026-05-13,10437.07
21,2026-05-30,10513.64
21,2026-06-09,10551.24
21,2026-06-16,10590.1
22,2026-02-27,21148.5
22,2026-03-09,21243.04
22,2026-03-20,21378.66
22,2026-03-31,21489.39
22,2026-04-17,21702.68
22,2026-05-01,21819.36
22,2026-05-13,21944.8
22,2026-05-30,22105.61
22,2026-06-09,22181.65
22,2026-06-16,22261.32
23,2025-10-25,4154.4
23,2025-10-31,4163.22
23,2025-11-10,4178.32
23,2025-11-21,4190.85
23,2025-11-28,4199.08
23,2025-12-12,4216.96
23,2025-12-19,4226.23
23,2026-01-01,4241.11
23,2026-01-24,4272.76
23,2026-01-30,4283.58
23,2026-02-16,4306.22
23,2026-02-27,4324.6
23,2026-03-09,4340.29
23,2026-03-20,4366.86
23,2026-03-31,4387.28
23,2026-04-17,4428.99
23,2026-05-01,4459.74
23,2026-05-13,4481.73
23,2026-05-30,4516.97
23,2026-06-09,4533.8
23,2026-06-16,4548.5
24,2025-10-31,15581.09
24,2025-11-10,15620.16
24,2025-11-21,15699.75
24,2025-11-28,15730.91
24,2025-12-12,15793.42
24,2025-12-19,15826.71
24,2026-01-01,15882.41
24,2026-01-24,15994.09
24,2026-01-30,16034.04
24,2026-02-16,16114.25
24,2026-02-27,16181.27
24,2026-03-09,16234.08
24,2026-03-20,16320.57
24,2026-03-31,16400.51
24,2026-04-17,16542.89
24,2026-05-01,16647.41
24,2026-05-13,16752.6
24,2026-05-30,16892.25
24,2026-06-09,16961.63
24,2026-06-16,14013.0
25,2025-10-25,2101.75
25,2025-10-31,2106.22
25,2025-11-10,2111.58
25,2025-11-21,2117.89
25,2025-11-28,2122.61
25,2025-12-12,2131.87
25,2025-12-19,2137.55
25,2026-01-01,2145.94
25,2026-01-24,2162.35
25,2026-01-30,2167.65
25,2026-02-16,2178.64
25,2026-02-27,2188.78
25,2026-03-09,2200.03
25,2026-03-20,2212.85
25,2026-03-31,2255.23
25,2026-04-17,2247.43
25,2026-05-01,2259.72
25,2026-05-13,2272.1
25,2026-05-30,2288.87
25,2026-06-09,2297.11
25,2026-06-16,2305.61
26,2025-06-07,5157.78
26,2025-06-13,5175.3
26,2025-06-20,5185.34
26,2025-06-27,5197.98
26,2025-07-01,5202.63
26,2025-07-12,5222.69
26,2025-07-17,5232.52
26,2025-07-28,5250.08
26,2025-08-01,5261.26
26,2025-08-12,5277.89
26,2025-08-22,5298.38
26,2025-08-29,5307.4
26,2025-09-09,5318.72
26,2025-09-19,5332.57
26,2025-10-01,5352.44
26,2025-10-25,5405.68
26,2025-10-31,5417.07
26,2025-11-10,5431.25
26,2025-11-21,5447.28
26,2025-11-28,5459.16
26,2025-12-12,5483.44
26,2025-12-19,5495.69
26,2026-01-01,5516.94
26,2026-01-24,5561.21
26,2026-01-30,5574.93
26,2026-02-16,5604.3
26,2026-02-27,5628.59
26,2026-03-09,5652.66
26,2026-03-20,5690.24
26,2026-03-31,5718.69
26,2026-04-17,5775.72
26,2026-05-01,5808.7
26,2026-05-13,5841.9
26,2026-05-30,5889.11
26,2026-06-09,5909.91
26,2026-06-16,5930.61
27,2025-04-15,6962.15
27,2025-04-19,6971.41
27,2025-04-28,6994.62
27,2025-05-01,7003.92
27,2025-05-10,7031.9
27,2025-05-19,7060.36
27,2025-05-27,7084.0
27,2025-06-01,7095.85
27,2025-06-07,7115.65
27,2025-06-13,7135.1
27,2025-06-20,7149.4
27,2025-06-27,7167.31
27,2025-07-01,7174.49
27,2025-07-12,7203.27
27,2025-07-17,7216.21
27,2025-07-28,7240.24
27,2025-08-01,7254.0
27,2025-08-12,7279.68
27,2025-08-22,7307.89
27,2025-08-29,7325.58
27,2025-09-09,7350.42
27,2025-09-19,7372.71
27,2025-10-01,7391.34
27,2025-10-25,7449.77
27,2025-10-31,7471.72
